date1	date2	x1	x2	x3	x4
January	1994	44.3	104.04	51.9	72.15
February	1994	54.7	102.74	60.1	73.47
March	1994	61.9	105.23	65	74.91
April	1994	69.1	113.63	69.8	79.06
May	1994	70.8	120.77	72.4	82.07
June	1994	76.9	126.46	79.3	84.96
July	1994	77.5	105.46	77.8	77.22
August	1994	75	111.59	77.1	79.25
September	1994	82.2	117.78	79.1	82.93
October	1994	84.7	124.23	79.8	86.49
November	1994	77.2	121.86	72	85.07
December	1994	51.3	105.36	52.7	74.72
January	1995	50.6	110.26	55.2	77.94
February	1995	51.8	106.72	58.6	76.15
March	1995	61.3	108.97	66.6	78.12
April	1995	64.6	110.28	67.3	79.65
May	1995	72.2	127.4	74.3	86.91
June	1995	80.3	123.27	78.4	86.22
July	1995	84.8	110.88	76.5	81
August	1995	80.7	120.03	82	85.23
September	1995	82.5	124.01	78.9	87.8
October	1995	84.3	129.79	79.5	91.13
November	1995	77.5	132.32	73	90.75
December	1995	52.6	110.16	53.4	78.25
January	1996	46.3	114.92	53.3	84.48
February	1996	51.3	110.17	56.8	80.81
March	1996	75.5	119.52	71.3	87.9
April	1996	72.6	122.4	71	88.15
May	1996	78.5	137.86	76.8	96.09
June	1996	86.6	138.41	83.4	96.71
July	1996	78	123.67	77.6	90.58
August	1996	81.6	137.9	81.6	96.31
September	1996	83.3	139.45	81.1	98.27
October	1996	88.7	147.99	82.8	102.86
November	1996	78.4	141.55	72.1	99.87
December	1996	58.7	130.03	54.1	93.14
January	1997	50.4	121.86	52.8	88.26
February	1997	58.3	123.18	59	89.83
March	1997	67.9	126.09	66.1	93.01
April	1997	76.6	137.85	72.8	97.95
May	1997	79.7	151.89	76.4	104.43
June	1997	86	153.25	82.7	106.87
July	1997	80.8	132.12	79	97.41
August	1997	82.4	141.69	79.7	101.38
September	1997	87.3	157.83	81.1	109.94
October	1997	86.6	163.65	81.7	111.87
November	1997	78.3	155.43	71.9	107.44
December	1997	58.2	137.11	54.4	96.93
January	1998	54.4	129.19	55.1	93.9
February	1998	59.8	130.83	59.7	94.4
March	1998	71.4	142.99	68.4	102.39
April	1998	76.6	154.63	70.9	108.9
May	1998	80.6	166.7	76.3	110.54
June	1998	80.3	165.21	78.4	112.07
July	1998	77.5	145.27	74.3	103.47
August	1998	77.5	158.03	75.7	109.02
September	1998	77.6	166.63	75.7	114.07
October	1998	83.7	174.03	77.6	118.34
November	1998	76.9	168.41	70.3	114.87
December	1998	55.8	144.03	53.1	99.93
January	1999	58.9	141.44	57.1	100.94
February	1999	66.4	137	62.7	100.43
March	1999	70.4	145.99	68.3	103.08
April	1999	71.2	151.76	68.2	108.17
May	1999	78.2	172.07	74.2	116.84
June	1999	83	168.06	78.3	116.59
July	1999	79.4	150.99	74.9	108.69
August	1999	76.9	157.88	74.9	112.04
September	1999	78.4	163.3	72.7	115.42
October	1999	85.9	180.63	77.1	123.92
November	1999	78	171.36	68.7	119
December	1999	56.3	146.55	52.5	100.78
January	2000	49.8	138.04	50.5	98.94
February	2000	55.6	138.04	58.7	100.22
March	2000	72.3	149.35	67.4	108.18
April	2000	75.9	161.16	70.1	112.21
May	2000	85	181.41	77.8	122.9
June	2000	88.9	184.26	83.5	124.41
July	2000	87.9	161.13	79.9	114.9
August	2000	82.5	171.94	78	119.18
September	2000	86.4	188.1	81.2	126.51
October	2000	82.7	190.71	76.7	128.74
November	2000	78.6	186.41	70.8	126.65
December	2000	49.3	148.93	48.9	102.71
January	2001	47.9	145.9	49.5	103.61
February	2001	60.9	145.56	58.3	106.02
March	2001	69.1	152.4	63.1	110.01
April	2001	64.2	159.98	62	112.55
May	2001	73.6	180.32	67.8	123.12
June	2001	82.2	181.56	74.8	125.09
July	2001	74.6	155.59	69.3	112.1
August	2001	77	165.06	71.4	117.09
September	2001	53.7	169.41	56.6	113
October	2001	69.3	176.94	62.6	121.72
November	2001	68.9	167.13	59	108.33
December	2001	51.3	138.77	44.6	95.43
January	2002	44.3	132.45	43.4	92.57
February	2002	50.5	134.26	49.4	93.95
March	2002	59	135.76	54	95.67
April	2002	73	162.07	62.8	107.61
May	2002	68.5	164.05	62.4	114.95
June	2002	78.6	165.81	71	117.17
July	2002	72.5	139.8	66.4	104.3
August	2002	71.9	142.52	66.9	105.4
September	2002	74.3	166.59	66.6	117.2
October	2002	77.1	173.08	67.7	120.35
November	2002	69.8	175.82	59.4	113.14
December	2002	54.8	148.95	46.6	99.1
January	2003	51.6	132.89	45.3	92.88
February	2003	52.7	127.44	50.8	90.99
March	2003	65	147.32	55.9	99.62
April	2003	69	150.72	58.4	101.32